종목코드,시장구분,종목명,산업분류,시가총액(원),PER,PBR,배당수익률,ROE,X
X011930,코스피,신성이엔지,전기전자,163306373900,12.37,1.42,0,0.114793856103476,
X008700,코스피,아남전자,전기전자,162347746100,NA,2.96,0,NA,
X317400,코스피,자이에스앤디,서비스업,162034246000,6.28,1.76,0,0.280254777070064,
X017890,코스닥,한국알콜,화학,161611084800,5.37,0.55,0.67,0.102420856610801,
X002450,코스피,삼익악기,기타제조,161597683275,11.02,0.77,2.8,0.069872958257713,
X059090,코스닥,미코,IT H/W,161593671480,11.42,1.9,0.78,0.166374781085814,
X014990,코스피,인디에프,섬유의복,160887076350,682.5,2.43,0,0.00356043956044,
X077970,코스피,STX엔진,기계,160832238960,5.76,0.87,0,0.151041666666667,
X011810,코스피,STX,유통업,160576982280,17.28,2.52,0,0.145833333333333,
X110990,코스닥,디아이티,IT H/W,160272000000,18.64,0.98,1.42,0.052575107296137,
X290650,코스닥,엘앤씨바이오,제약,159329537800,26.08,2.99,0,0.114647239263804,
X073070,코스닥,에스모,운송장비·부품,158442507520,NA,1.98,0,NA,
X005950,코스피,이수화학,화학,158127300000,22.07,0.51,3.86,0.023108291798822,
X005740,코스피,크라운해태홀딩스,금융업,158124245550,34.35,0.57,0.94,0.016593886462882,
X007660,코스피,이수페타시스,전기전자,157438938370,NA,0.89,1.83,NA,
X063160,코스피,종근당바이오,의약품,157146144450,19.37,1.06,0.67,0.054723799690243,
X003960,코스피,사조대림,음식료품,156712385700,10.31,0.46,0.88,0.044616876818623,
X073570,코스닥,WI,IT H/W,156659030000,NA,4.52,0,NA,
X024810,코스닥,이화전기,IT H/W,156592022976,NA,0.69,0,NA,
X012030,코스피,DB,서비스업,156513319874,NA,1.14,0,NA,
X214330,코스피,금호에이치티,운수장비,155904427630,10.71,0.86,0,0.080298786181139,
X036890,코스닥,진성티이씨,기계·장비,155802117240,6.38,1.29,2.89,0.202194357366771,
X060280,코스닥,큐렉소,유통,155611585245,NA,2.22,0,NA,
X037460,코스닥,삼지전자,IT H/W,155025959000,11,0.83,1.47,0.075454545454546,
X121440,코스닥,골프존뉴딘홀딩스,유통,154855097070,NA,0.32,3.24,NA,
X036180,코스닥,영인프런티어,유통,152770959880,61.13,5.39,0,0.088172746605595,
X128820,코스피,대성산업,유통업,152669738250,NA,0.32,0,NA,
X013570,코스피,디와이,금융업,152390675070,24.64,0.45,2.59,0.018262987012987,
X027360,코스닥,아주IB투자,금융,151953984000,11.96,0.97,1.95,0.081103678929766,
X195990,코스닥,에이비프로바이오,기계·장비,151798212717,NA,0.86,0,NA,
X065130,코스닥,탑엔지니어링,기계·장비,151774441500,8.13,0.88,1.05,0.108241082410824,
X045970,코스닥,코아시아,기타서비스,151612284000,NA,1.22,0,NA,
X008290,코스닥,원풍물산,섬유·의류,151454428020,NA,5.94,0,NA,
X094280,코스피,효성ITX,서비스업,151412420000,21.1,3.41,3.82,0.161611374407583,
X082740,코스피,HSD엔진,기계,151062646070,NA,0.65,0,NA,
X002460,코스피,화성산업,건설업,150654680000,2.98,0.4,7.69,0.134228187919463,
X143210,코스피,핸즈코퍼레이션,운수장비,150637916520,35.52,0.47,1.45,0.013231981981982,
X014970,코스닥,삼륭물산,종이·목재,150493750000,NA,2.18,0.75,NA,
X072870,코스닥,메가스터디,출판·매체복제,150204083400,6.58,0.58,3.17,0.088145896656535,
X136540,코스닥,윈스,IT S/W & SVC,149923603050,11.49,1.46,2.59,0.127067014795474,
X117580,코스피,대성에너지,전기가스업,149875000000,11.62,0.5,4.59,0.04302925989673,
X248170,코스피,샘표식품,음식료품,149382952200,8.3,1.13,0.61,0.136144578313253,
X064550,코스닥,바이오니아,제약,149371625370,NA,3.8,0,NA,
X166480,코스닥,코아스템,제약,149315680000,NA,2.4,0,NA,
X060240,코스닥,룽투코리아,IT S/W & SVC,149015604240,6.59,2.15,0,0.326251896813354,
X001390,코스피,KG케미칼,화학,149001506400,41.79,0.58,3.06,0.013878918401532,
X095190,코스닥,이엠코리아,기계·장비,148782422880,NA,1.74,0,NA,
X171120,코스닥,라이온켐텍,화학,148704157800,77.88,1.45,2.47,0.018618387262455,
X045890,코스닥,GV,일반전기전자,148397902160,NA,2.07,0,NA,
X054670,코스닥,대한뉴팜,제약,147855676000,59.2,3.43,0,0.057939189189189,
X048550,코스닥,SM C&C,통신방송서비스,147675810820,NA,1.31,0,NA,
X065650,코스닥,메디프론,유통,147195565000,NA,7.67,0,NA,
X096240,코스닥,청담러닝,기타서비스,146969566650,17.47,2.22,4.18,0.127074985689754,
X008040,코스피,사조동아원,음식료품,146790384000,7.7,0.82,0,0.106493506493506,
X005990,코스닥,매일홀딩스,음식료·담배,146785852800,5.54,0.54,1.12,0.097472924187726,
X101140,코스피,비티원,유통업,146747886700,50.68,4.6,0,0.090765588003157,
X004200,코스피,고려개발,건설업,146715440160,NA,1.27,0,NA,
X084010,코스피,대한제강,철강금속,146648067300,NA,0.34,2.52,NA,
X005090,코스피,삼광글라스,비금속광물,146603423600,NA,0.53,2.48,NA,
X071200,코스닥,인피니트헬스케어,IT S/W & SVC,146134783420,29.65,1.89,0,0.063743676222597,
X100250,코스피,진양홀딩스,화학,145886712120,130.5,0.49,5.75,0.003754789272031,
X001460,코스피,BYC,섬유의복,145847602500,21.44,0.48,0.43,0.022388059701493,
X099220,코스닥,SDN,유통,145831004320,60.77,1.97,0,0.032417311173276,
X238490,코스닥,힘스,IT H/W,145362232600,NA,2.77,0,NA,
X069460,코스피,대호에이엘,철강금속,145171388650,191.07,4.97,0,0.026011409431099,
X024090,코스피,디씨엠,철강금속,145080000000,17.34,0.93,2.02,0.05363321799308,
X064240,코스닥,홈캐스트,IT H/W,144789557500,NA,1.85,0,NA,
X302430,코스닥,이노메트리,기계·장비,144511984600,19.99,2.99,0.67,0.149574787393697,
X056000,코스닥,신스타임즈,IT S/W & SVC,144193320000,NA,7.07,0,NA,
X049180,코스닥,셀루메드,제약,143843063520,NA,4.63,0,NA,
X131370,코스닥,알서포트,IT S/W & SVC,143821124100,28.12,2.67,0.37,0.094950213371266,
X006620,코스닥,동구바이오제약,제약,143579800000,30.57,1.99,0,0.065096499836441,
X003460,코스피,유화증권,금융업,143457109950,26.97,0.41,5.93,0.015202076381164,
X038340,코스닥,UCI,기타서비스,143284268150,NA,6.12,0,NA,
X030210,코스피,KTB투자증권,금융업,143245968500,5.78,0.32,0,0.055363321799308,
X054450,코스닥,텔레칩스,IT H/W,143162656600,14.21,1.48,1.13,0.104152005629838,
X058610,코스닥,에스피지,IT H/W,142798509000,17.63,1.14,1.46,0.064662507090187,
X089970,코스닥,에이피티씨,기계·장비,142660413300,7.68,2.67,3.26,0.34765625,
X290670,코스닥,대보마그네틱,기계·장비,142617399600,35.19,4.8,0,0.136402387041773,
X036200,코스닥,유니셈,IT H/W,142435315835,6.09,1.31,1.29,0.215106732348112,
X264450,코스닥,유비쿼스,IT H/W,142189751250,9.55,1.78,2.16,0.186387434554974,
X004250,코스피,NPC,화학,142106400000,13.72,0.62,2.45,0.045189504373178,
X089470,코스피,HDC현대EP,화학,141955000000,16.18,0.5,1.35,0.030902348578492,
X203650,코스닥,드림시큐리티,출판·매체복제,141949139970,33.39,4.45,0,0.133273435160228,
X078000,코스피,텔코웨어,서비스업,141659507600,12.95,1.28,4.45,0.098841698841699,
X004890,코스피,동일산업,철강금속,141390034500,8.14,0.4,2.57,0.049140049140049,
X005160,코스닥,동국산업,금속,141306875610,12.77,0.38,4.99,0.029757243539546,
X100700,코스닥,세운메디칼,제약,141255000000,14.46,1.64,1.55,0.113416320885201,
X131390,코스닥,피앤이솔루션,일반전기전자,141229200000,12.91,2.17,1.01,0.168086754453912,
X021320,코스닥,KCC건설,건설,141026000000,5.85,0.4,1.97,0.068376068376068,
X100790,코스닥,미래에셋벤처투자,금융,140762516850,6.3,1.01,0,0.16031746031746,
X012690,코스피,모나리자,종이목재,140616475475,NA,2.18,1.3,NA,
X138580,코스닥,비즈니스온,IT S/W & SVC,140310618000,26.49,3.96,1.59,0.149490373725934,
X095340,코스닥,ISC,IT H/W,140010829200,9.8,0.83,1.52,0.08469387755102,
X042370,코스닥,비츠로테크,금융,139711706250,15.59,1.01,0.8,0.064785118665811,
X027050,코스닥,코리아나,화학,139600000000,62.32,1.79,0,0.028722721437741,
X003650,코스피,미창석유,화학,139347727200,12.15,0.56,2,0.046090534979424,
X004560,코스피,현대비앤지스틸,철강금속,139328213640,7.22,0.37,1.08,0.051246537396122,
X100840,코스피,S&TC,기계,139249489050,74.2,0.6,0,0.008086253369272,
X091120,코스닥,이엠텍,IT H/W,139248315120,5.54,0.7,1.73,0.126353790613718,
X036810,코스닥,에프에스티,IT H/W,139208640320,7.31,1.46,1.16,0.199726402188782,
X039830,코스닥,오로라,기타서비스,138841281000,22.36,1.36,1.16,0.0608228980322,
X073560,코스닥,우리손에프앤지,음식료·담배,138821474215,5.13,0.77,1.25,0.15009746588694,
X051360,코스닥,토비스,IT H/W,138751581400,6.73,0.78,2.41,0.115898959881129,
X043220,코스닥,에이치엘비파워,기계·장비,138605763460,NA,6.37,0,NA,
X306040,코스닥,에스제이그룹,섬유·의류,138373200000,22.94,7.94,0.71,0.346120313862249,
X038390,코스닥,레드캡투어,기타서비스,138290628000,9.41,0.93,4.97,0.098831030818278,
X001540,코스닥,안국약품,제약,138249652000,9.19,0.94,2.08,0.102285092491839,
X002070,코스피,남영비비안,섬유의복,138045694500,NA,1.13,1,NA,
X187420,코스닥,제노포커스,제약,138017822160,NA,2.29,0,NA,
X041910,코스닥,에스텍파마,제약,137424937650,20.44,1.54,0.43,0.075342465753425,
X060310,코스닥,3S,기계·장비,137002757580,95.62,3.98,0,0.041623091403472,
X039860,코스닥,나노엔텍,의료·정밀기기,136459580100,40.23,3.88,0,0.096445438727318,
X011330,코스피,유니켐,기타제조,136151050280,10.54,2.13,0,0.202087286527514,
X067830,코스피,세이브존I&C,유통업,136050566925,4.93,0.31,1.51,0.062880324543611,
X066430,코스닥,와이오엠,유통,135932119050,NA,18.73,0,NA,
X100130,코스닥,동국S&C,금속,135714625000,NA,0.53,3.37,NA,
X200880,코스피,서연이화,운수장비,135142185000,NA,0.21,2,NA,
X023600,코스닥,삼보판지,종이·목재,134857800000,2.28,0.41,0.6,0.179824561403509,
X052790,코스닥,액토즈소프트,IT S/W & SVC,134834592200,NA,1.46,0,NA,
X099320,코스닥,쎄트렉아이,IT H/W,134830433850,28.67,2.32,1.13,0.080920823160098,
X054210,코스닥,이랜텍,IT H/W,134770698160,NA,0.89,0,NA,
X260660,코스닥,알리코제약,제약,134588413750,104.92,2.16,0,0.020587113991613,
X241770,코스닥,메카로,IT H/W,133992712000,4.61,0.96,4.32,0.20824295010846,
X035080,코스닥,인터파크홀딩스,유통,133672500000,NA,0.44,2.19,NA,
X000490,코스피,대동공업,기계,133589822300,95.42,0.63,0.89,0.006602389436177,
X054800,코스닥,아이디스홀딩스,기타서비스,133486052400,5.3,0.6,1.55,0.113207547169811,
X153710,코스닥,옵티팜,제약,133281816660,NA,3.72,0,NA,
X000390,코스피,삼화페인트,화학,133251305040,157.5,0.47,2.48,0.002984126984127,
X053590,코스닥,한국테크놀로지,기계·장비,133214910570,NA,5.6,0,NA,
X027390,코스피,한화갤러리아타임월드,유통업,132902901650,13.68,0.6,1.35,0.043859649122807,
X299900,코스닥,위지윅스튜디오,오락·문화,132674500800,18.65,2.87,0,0.153887399463807,
X036560,코스닥,영풍정밀,기계·장비,132615000000,11.71,0.47,2.97,0.040136635354398,
X000520,코스피,삼일제약,의약품,132600000000,NA,2.36,0.49,NA,
X000860,코스피,강남제비스코,화학,132275000000,3.42,0.26,2.7,0.076023391812866,
X007980,코스피,태평양물산,섬유의복,132266116300,12.44,0.89,0.75,0.071543408360129,
X072520,코스닥,제넨바이오,기타서비스,132255723040,NA,3.37,0,NA,
X018310,코스닥,삼목에스폼,금속,132153000000,3.76,0.4,1.11,0.106382978723404,
X004770,코스피,써니전자,전기전자,131902457400,31.67,2.84,0,0.089674771076729,
X005430,코스피,한국공항,운수창고업,131720368000,6.75,0.41,2.4,0.060740740740741,
X069510,코스닥,에스텍,일반전기전자,131465500000,5.08,0.95,4.15,0.187007874015748,
X251630,코스닥,브이원텍,기계·장비,131391563400,8.47,1.71,2.29,0.201889020070838,
X008970,코스피,동양철관,철강금속,131368245450,NA,1.66,0,NA,
X079960,코스닥,동양이엔피,IT H/W,131262000000,26.18,0.68,1.8,0.025974025974026,
X001290,코스피,상상인증권,금융업,131188016505,NA,0.7,0,NA,
X000890,코스피,보해양조,음식료품,131058988320,NA,1.45,0,NA,
X225190,코스닥,삼양옵틱스,의료·정밀기기,131038700000,10.43,3.62,8.46,0.347075743048897,
X214260,코스닥,라파스,화학,130653085200,NA,5.34,0,NA,
